title,department,location,reportsTo
"Chief Executive Officer","Executive","New York",""
"Chief Financial Officer","Finance","New York","CEO"
"Chief Technology Officer","Engineering","San Francisco","CEO"
"Vice President, Engineering","Engineering","San Francisco","CTO"
"Vice President, Sales","Sales","New York","CEO"
"Senior Director, Software Engineering","Engineering","San Francisco","VP, Engineering"
"Director, Software Engineering","Engineering","San Francisco","Sr. Director, Software Engineering"
"Engineering Manager","Engineering","San Francisco","Director, Software Engineering"
"Software Engineer III","Engineering","San Francisco","Engineering Manager"
"Software Engineer II","Engineering","San Francisco","Engineering Manager"
"Software Engineer I","Engineering","San Francisco","Engineering Manager"
"Marketing Manager","Marketing","New York","Director, Brand Marketing"
"Sales Manager","Sales","New York","Director, Sales - East"
"Customer Support Representative","Customer Success","Austin","Director, Customer Support"
"Recruiter","Human Resources","Chicago","Director, People Operations"
"Receptionist","Operations","New York","Director, Real Estate"
